pestname;value;week;SectionId;Section
Sciara;11;19;10;Afdeling 2
Sciara;12;19;10;Afdeling 2
Sciara;2;32;27;Afdeling 18
Sciara;2;51;26;Afdeling 17
Sciara;2;43;26;Afdeling 17
Sciara;2;51;26;Afdeling 17
Sciara;2;49;26;Afdeling 17
Sciara;2;48;26;Afdeling 17
Sciara;2;43;26;Afdeling 17
Sciara;2;18;26;Afdeling 17
Sciara;2;6;26;Afdeling 17
Sciara;2;47;26;Afdeling 17
Sciara;2;32;26;Afdeling 17
Sciara;2;47;26;Afdeling 17
Sciara;2;7;26;Afdeling 17
Sciara;2;44;25;Afdeling 16
Sciara;2;33;25;Afdeling 16
Sciara;2;18;25;Afdeling 16
Sciara;2;9;25;Afdeling 16
Sciara;2;6;25;Afdeling 16
Sciara;2;33;24;Afdeling 15
Sciara;2;51;24;Afdeling 15
Sciara;2;6;24;Afdeling 15
Sciara;2;7;24;Afdeling 15
Sciara;2;13;24;Afdeling 15
Sciara;2;7;24;Afdeling 15
Sciara;2;23;23;Afdeling 14
Sciara;2;32;23;Afdeling 14
Sciara;2;31;23;Afdeling 14
Sciara;2;14;23;Afdeling 14
Sciara;2;15;23;Afdeling 14
Sciara;2;40;23;Afdeling 14
Sciara;2;18;23;Afdeling 14
Sciara;2;15;23;Afdeling 14
Sciara;2;11;23;Afdeling 14
Sciara;2;52;22;Afdeling 13
Sciara;2;31;22;Afdeling 13
Sciara;2;15;21;Afdeling 12
Sciara;2;14;21;Afdeling 12
Sciara;2;15;21;Afdeling 12
Sciara;2;11;21;Afdeling 12
Sciara;2;33;20;Afdeling 11
Sciara;2;40;20;Afdeling 11
Sciara;2;31;20;Afdeling 11
Sciara;2;31;20;Afdeling 11
Sciara;2;25;20;Afdeling 11
Sciara;2;11;20;Afdeling 11
Sciara;2;7;20;Afdeling 11
Sciara;2;22;20;Afdeling 11
Sciara;2;42;18;Afdeling 10
Sciara;2;32;18;Afdeling 10
Sciara;2;48;18;Afdeling 10
Sciara;2;42;18;Afdeling 10
Sciara;2;32;18;Afdeling 10
Sciara;2;7;18;Afdeling 10
Sciara;2;7;18;Afdeling 10
Sciara;2;18;17;Afdeling 9
Sciara;2;17;17;Afdeling 9
Sciara;2;14;17;Afdeling 9
Sciara;2;31;17;Afdeling 9
Sciara;2;42;16;Afdeling 8
Sciara;2;15;16;Afdeling 8
Sciara;2;11;16;Afdeling 8
Sciara;2;17;16;Afdeling 8
Sciara;2;23;16;Afdeling 8
Sciara;2;32;16;Afdeling 8
Sciara;2;43;15;Afdeling 7
Sciara;2;13;15;Afdeling 7
Sciara;2;24;15;Afdeling 7
Sciara;2;17;15;Afdeling 7
Sciara;2;14;15;Afdeling 7
Sciara;2;25;15;Afdeling 7
Sciara;2;16;15;Afdeling 7
Sciara;2;17;15;Afdeling 7
Sciara;2;23;15;Afdeling 7
Sciara;2;13;15;Afdeling 7
Sciara;2;46;14;Afdeling 6
Sciara;2;42;14;Afdeling 6
Sciara;2;34;14;Afdeling 6
Sciara;2;13;14;Afdeling 6
Sciara;2;42;14;Afdeling 6
Sciara;2;33;14;Afdeling 6
Sciara;2;32;14;Afdeling 6
Sciara;2;34;14;Afdeling 6
Sciara;2;25;14;Afdeling 6
Sciara;2;33;13;Afdeling 5
Sciara;2;47;13;Afdeling 5
Sciara;2;26;13;Afdeling 5
Sciara;2;11;13;Afdeling 5
Sciara;2;51;12;Afdeling 4
Sciara;2;48;12;Afdeling 4
Sciara;2;48;12;Afdeling 4
Sciara;2;32;12;Afdeling 4
Sciara;2;17;12;Afdeling 4
Sciara;2;6;12;Afdeling 4
Sciara;2;15;12;Afdeling 4
Sciara;2;16;12;Afdeling 4
Sciara;2;34;12;Afdeling 4
Sciara;2;32;12;Afdeling 4
Sciara;2;13;12;Afdeling 4
Sciara;2;42;12;Afdeling 4
Sciara;2;17;11;Afdeling 3
Sciara;2;17;11;Afdeling 3
Sciara;2;11;11;Afdeling 3
Sciara;2;16;11;Afdeling 3
Sciara;2;47;11;Afdeling 3
Sciara;2;47;11;Afdeling 3
Sciara;2;33;11;Afdeling 3
Sciara;2;43;10;Afdeling 2
Sciara;2;32;10;Afdeling 2
Sciara;2;17;10;Afdeling 2
Sciara;2;17;10;Afdeling 2
Sciara;2;15;10;Afdeling 2
Sciara;2;14;10;Afdeling 2
Sciara;2;16;10;Afdeling 2
Sciara;2;32;10;Afdeling 2
Sciara;2;34;10;Afdeling 2
